('BNS: 1.1 P1                   ', ['Operators:', '(1|0,0,0)'])
("BNS: 20.32 C222_11'           ", ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,1/2)', '(2z|0,0,1/2)', "(1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,1/2)'", "(2z|0,0,1/2)'"])
("BNS: 20.33 C2'2'2_1           ", ['Operators:', '(1|0,0,0)', "(2x|0,0,0)'", "(2y|0,0,1/2)'", '(2z|0,0,1/2)'])
("BNS: 20.34 C22'2_1'           ", ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', "(2y|0,0,1/2)'", "(2z|0,0,1/2)'"])
('BNS: 20.35 C_c222_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,1/2)', '(2z|0,0,1/2)', "(1|0,0,1/2)'", "(2x|0,0,1/2)'", "(2y|0,0,0)'", "(2z|0,0,0)'"])
('BNS: 20.36 C_a222_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,1/2)', '(2z|0,0,1/2)', "(1|1/2,0,0)'", "(2x|1/2,0,0)'", "(2y|1/2,0,1/2)'", "(2z|1/2,0,1/2)'"])
('BNS: 20.37 C_A222_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,1/2)', '(2z|0,0,1/2)', "(1|0,1/2,1/2)'", "(2x|1/2,0,1/2)'", "(2y|1/2,0,0)'", "(2z|1/2,0,0)'"])
('BNS: 21.38 C222               ', ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)'])
("BNS: 21.39 C2221'             ", ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|0,0,0)'"])
("BNS: 21.40 C2'2'2             ", ['Operators:', '(1|0,0,0)', "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)'])
("BNS: 21.41 C22'2'             ", ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', "(2y|0,0,0)'", "(2z|0,0,0)'"])
('BNS: 21.42 C_c222             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(1|0,0,1/2)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", "(2z|0,0,1/2)'"])
('BNS: 21.43 C_a222             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(1|1/2,0,0)'", "(2x|1/2,0,0)'", "(2y|1/2,0,0)'", "(2z|1/2,0,0)'"])
('BNS: 21.44 C_A222             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(1|0,1/2,1/2)'", "(2x|1/2,0,1/2)'", "(2y|1/2,0,1/2)'", "(2z|1/2,0,1/2)'"])
('BNS: 22.45 F222               ', ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)'])
("BNS: 22.46 F2221'             ", ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|0,0,0)'"])
("BNS: 22.47 F2'2'2             ", ['Operators:', '(1|0,0,0)', "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)'])
('BNS: 22.48 F_S222             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(1|0,0,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'"])
('BNS: 23.49 I222               ', ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)'])
("BNS: 23.50 I2221'             ", ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|0,0,0)'"])
("BNS: 23.51 I2'2'2             ", ['Operators:', '(1|0,0,0)', "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)'])
('BNS: 23.52 I_c222             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(1|0,0,1/2)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", "(2z|0,0,1/2)'"])
('BNS: 24.53 I2_12_12_1         ', ['Operators:', '(1|0,0,0)', '(2x|0,0,1/2)', '(2y|1/2,0,0)', '(2z|0,1/2,0)'])
("BNS: 24.54 I2_12_12_11'       ", ['Operators:', '(1|0,0,0)', '(2x|0,0,1/2)', '(2y|1/2,0,0)', '(2z|0,1/2,0)', "(1|0,0,0)'", "(2x|0,0,1/2)'", "(2y|1/2,0,0)'", "(2z|0,1/2,0)'"])
("BNS: 24.55 I2_1'2_1'2_1       ", ['Operators:', '(1|0,0,0)', "(2x|0,0,1/2)'", "(2y|1/2,0,0)'", '(2z|0,1/2,0)'])
('BNS: 24.56 I_c2_12_12_1       ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,1/2)', '(2y|1/2,0,0)', '(2z|0,1/2,0)', "(1|0,0,1/2)'", "(2x|0,0,0)'", "(2y|0,1/2,0)'", "(2z|1/2,0,0)'"])
('BNS: 25.57 Pmm2               ', ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)'])
("BNS: 25.58 Pmm21'             ", ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)', "(1|0,0,0)'", "(2z|0,0,0)'", "(mx|0,0,0)'", "(my|0,0,0)'"])
("BNS: 25.59 Pm'm2'             ", ['Operators:', '(1|0,0,0)', "(2z|0,0,0)'", "(mx|0,0,0)'", '(my|0,0,0)'])
("BNS: 25.60 Pm'm'2             ", ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', "(mx|0,0,0)'", "(my|0,0,0)'"])
('BNS: 25.61 P_cmm2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)', "(1|0,0,1/2)'", "(2z|0,0,1/2)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'"])
('BNS: 25.62 P_amm2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)', "(1|1/2,0,0)'", "(2z|1/2,0,0)'", "(mx|1/2,0,0)'", "(my|1/2,0,0)'"])
('BNS: 25.63 P_Cmm2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)', "(1|1/2,1/2,0)'", "(2z|1/2,1/2,0)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'"])
('BNS: 25.64 P_Amm2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)', "(1|0,1/2,1/2)'", "(2z|0,1/2,1/2)'", "(mx|0,1/2,1/2)'", "(my|0,1/2,1/2)'"])
('BNS: 25.65 P_Imm2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,0)', '(my|0,0,0)', "(1|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'"])
('BNS: 26.66 Pmc2_1             ', ['Operators:', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,1/2)'])
("BNS: 26.67 Pmc2_11'           ", ['Operators:', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,1/2)', "(1|0,0,0)'", "(2z|0,0,1/2)'", "(mx|0,0,0)'", "(my|0,0,1/2)'"])
("BNS: 26.68 Pm'c2_1'           ", ['Operators:', '(1|0,0,0)', "(2z|0,0,1/2)'", "(mx|0,0,0)'", '(my|0,0,1/2)'])
("BNS: 26.69 Pmc'2_1'           ", ['Operators:', '(1|0,0,0)', "(2z|0,0,1/2)'", '(mx|0,0,0)', "(my|0,0,1/2)'"])
("BNS: 26.70 Pm'c'2_1           ", ['Operators:', '(1|0,0,0)', '(2z|0,0,1/2)', "(mx|0,0,0)'", "(my|0,0,1/2)'"])
('BNS: 26.71 P_amc2_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,1/2)', "(1|1/2,0,0)'", "(2z|1/2,0,1/2)'", "(mx|1/2,0,0)'", "(my|1/2,0,1/2)'"])
('BNS: 26.72 P_bmc2_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,1/2)', "(1|0,1/2,0)'", "(2z|0,1/2,1/2)'", "(mx|0,1/2,0)'", "(my|0,1/2,1/2)'"])
('BNS: 26.73 P_cmc2_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,1/2)', "(1|0,0,1/2)'", "(2z|0,0,0)'", "(mx|0,0,1/2)'", "(my|0,0,0)'"])
('BNS: 26.74 P_Amc2_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,1/2)', "(1|0,1/2,1/2)'", "(2z|0,1/2,0)'", "(mx|0,1/2,1/2)'", "(my|0,1/2,0)'"])
('BNS: 26.75 P_Bmc2_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,1/2)', "(1|1/2,0,1/2)'", "(2z|1/2,0,0)'", "(mx|1/2,0,1/2)'", "(my|1/2,0,0)'"])
('BNS: 26.76 P_Cmc2_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,1/2)', "(1|1/2,1/2,0)'", "(2z|1/2,1/2,1/2)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,1/2)'"])
('BNS: 26.77 P_Imc2_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,1/2)', "(1|1/2,1/2,1/2)'", "(2z|1/2,1/2,0)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,0)'"])
('BNS: 27.78 Pcc2               ', ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)'])
("BNS: 27.79 Pcc21'             ", ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', "(1|0,0,0)'", "(2z|0,0,0)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'"])
("BNS: 27.80 Pc'c2'             ", ['Operators:', '(1|0,0,0)', "(2z|0,0,0)'", "(mx|0,0,1/2)'", '(my|0,0,1/2)'])
("BNS: 27.81 Pc'c'2             ", ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', "(mx|0,0,1/2)'", "(my|0,0,1/2)'"])
('BNS: 27.82 P_ccc2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', "(1|0,0,1/2)'", "(2z|0,0,1/2)'", "(mx|0,0,0)'", "(my|0,0,0)'"])
('BNS: 27.83 P_acc2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', "(1|1/2,0,0)'", "(2z|1/2,0,0)'", "(mx|1/2,0,1/2)'", "(my|1/2,0,1/2)'"])
('BNS: 27.84 P_Ccc2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', "(1|1/2,1/2,0)'", "(2z|1/2,1/2,0)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'"])
('BNS: 27.85 P_Acc2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', "(1|0,1/2,1/2)'", "(2z|0,1/2,1/2)'", "(mx|0,1/2,0)'", "(my|0,1/2,0)'"])
('BNS: 27.86 P_Icc2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,0,1/2)', '(my|0,0,1/2)', "(1|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'"])
('BNS: 28.87 Pma2               ', ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,0,0)', '(my|1/2,0,0)'])
("BNS: 28.88 Pma21'             ", ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,0,0)', '(my|1/2,0,0)', "(1|0,0,0)'", "(2z|0,0,0)'", "(mx|1/2,0,0)'", "(my|1/2,0,0)'"])
("BNS: 28.89 Pm'a2'             ", ['Operators:', '(1|0,0,0)', "(2z|0,0,0)'", "(mx|1/2,0,0)'", '(my|1/2,0,0)'])
("BNS: 28.90 Pma'2'             ", ['Operators:', '(1|0,0,0)', "(2z|0,0,0)'", '(mx|1/2,0,0)', "(my|1/2,0,0)'"])
("BNS: 28.91 Pm'a'2             ", ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', "(mx|1/2,0,0)'", "(my|1/2,0,0)'"])
('BNS: 28.92 P_ama2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,0,0)', '(my|1/2,0,0)', "(1|1/2,0,0)'", "(2z|1/2,0,0)'", "(mx|0,0,0)'", "(my|0,0,0)'"])
('BNS: 28.93 P_bma2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,0,0)', '(my|1/2,0,0)', "(1|0,1/2,0)'", "(2z|0,1/2,0)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'"])
('BNS: 28.94 P_cma2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,0,0)', '(my|1/2,0,0)', "(1|0,0,1/2)'", "(2z|0,0,1/2)'", "(mx|1/2,0,1/2)'", "(my|1/2,0,1/2)'"])
('BNS: 28.95 P_Ama2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,0,0)', '(my|1/2,0,0)', "(1|0,1/2,1/2)'", "(2z|0,1/2,1/2)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'"])
('BNS: 28.96 P_Bma2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,0,0)', '(my|1/2,0,0)', "(1|1/2,0,1/2)'", "(2z|1/2,0,1/2)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'"])
('BNS: 28.97 P_Cma2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,0,0)', '(my|1/2,0,0)', "(1|1/2,1/2,0)'", "(2z|1/2,1/2,0)'", "(mx|0,1/2,0)'", "(my|0,1/2,0)'"])
('BNS: 28.98 P_Ima2             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,0,0)', '(my|1/2,0,0)', "(1|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'", "(mx|0,1/2,1/2)'", "(my|0,1/2,1/2)'"])
('BNS: 29.99 Pca2_1             ', ['Operators:', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|1/2,0,1/2)', '(my|1/2,0,0)'])
("BNS: 29.100 Pca2_11'          ", ['Operators:', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|1/2,0,1/2)', '(my|1/2,0,0)', "(1|0,0,0)'", "(2z|0,0,1/2)'", "(mx|1/2,0,1/2)'", "(my|1/2,0,0)'"])
("BNS: 29.101 Pc'a2_1'          ", ['Operators:', '(1|0,0,0)', "(2z|0,0,1/2)'", "(mx|1/2,0,1/2)'", '(my|1/2,0,0)'])
("BNS: 29.102 Pca'2_1'          ", ['Operators:', '(1|0,0,0)', "(2z|0,0,1/2)'", '(mx|1/2,0,1/2)', "(my|1/2,0,0)'"])
("BNS: 29.103 Pc'a'2_1          ", ['Operators:', '(1|0,0,0)', '(2z|0,0,1/2)', "(mx|1/2,0,1/2)'", "(my|1/2,0,0)'"])
('BNS: 29.104 P_aca2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|1/2,0,1/2)', '(my|1/2,0,0)', "(1|1/2,0,0)'", "(2z|1/2,0,1/2)'", "(mx|0,0,1/2)'", "(my|0,0,0)'"])
('BNS: 29.105 P_bca2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|1/2,0,1/2)', '(my|1/2,0,0)', "(1|0,1/2,0)'", "(2z|0,1/2,1/2)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,0)'"])
('BNS: 29.106 P_cca2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|1/2,0,1/2)', '(my|1/2,0,0)', "(1|0,0,1/2)'", "(2z|0,0,0)'", "(mx|1/2,0,0)'", "(my|1/2,0,1/2)'"])
('BNS: 29.107 P_Aca2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|1/2,0,1/2)', '(my|1/2,0,0)', "(1|0,1/2,1/2)'", "(2z|0,1/2,0)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,1/2)'"])
('BNS: 29.108 P_Bca2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|1/2,0,1/2)', '(my|1/2,0,0)', "(1|1/2,0,1/2)'", "(2z|1/2,0,0)'", "(mx|0,0,0)'", "(my|0,0,1/2)'"])
('BNS: 29.109 P_Cca2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|1/2,0,1/2)', '(my|1/2,0,0)', "(1|1/2,1/2,0)'", "(2z|1/2,1/2,1/2)'", "(mx|0,1/2,1/2)'", "(my|0,1/2,0)'"])
('BNS: 29.110 P_Ica2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|1/2,0,1/2)', '(my|1/2,0,0)', "(1|1/2,1/2,1/2)'", "(2z|1/2,1/2,0)'", "(mx|0,1/2,0)'", "(my|0,1/2,1/2)'"])
('BNS: 30.111 Pnc2              ', ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,1/2,1/2)', '(my|0,1/2,1/2)'])
("BNS: 30.112 Pnc21'            ", ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,1/2,1/2)', '(my|0,1/2,1/2)', "(1|0,0,0)'", "(2z|0,0,0)'", "(mx|0,1/2,1/2)'", "(my|0,1/2,1/2)'"])
("BNS: 30.113 Pn'c2'            ", ['Operators:', '(1|0,0,0)', "(2z|0,0,0)'", "(mx|0,1/2,1/2)'", '(my|0,1/2,1/2)'])
("BNS: 30.114 Pnc'2'            ", ['Operators:', '(1|0,0,0)', "(2z|0,0,0)'", '(mx|0,1/2,1/2)', "(my|0,1/2,1/2)'"])
("BNS: 30.115 Pn'c'2            ", ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', "(mx|0,1/2,1/2)'", "(my|0,1/2,1/2)'"])
('BNS: 30.116 P_anc2            ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,1/2,1/2)', '(my|0,1/2,1/2)', "(1|1/2,0,0)'", "(2z|1/2,0,0)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'"])
('BNS: 30.117 P_bnc2            ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,1/2,1/2)', '(my|0,1/2,1/2)', "(1|0,1/2,0)'", "(2z|0,1/2,0)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'"])
('BNS: 30.118 P_cnc2            ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,1/2,1/2)', '(my|0,1/2,1/2)', "(1|0,0,1/2)'", "(2z|0,0,1/2)'", "(mx|0,1/2,0)'", "(my|0,1/2,0)'"])
('BNS: 30.119 P_Anc2            ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,1/2,1/2)', '(my|0,1/2,1/2)', "(1|0,1/2,1/2)'", "(2z|0,1/2,1/2)'", "(mx|0,0,0)'", "(my|0,0,0)'"])
('BNS: 30.120 P_Bnc2            ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,1/2,1/2)', '(my|0,1/2,1/2)', "(1|1/2,0,1/2)'", "(2z|1/2,0,1/2)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'"])
('BNS: 30.121 P_Cnc2            ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,1/2,1/2)', '(my|0,1/2,1/2)', "(1|1/2,1/2,0)'", "(2z|1/2,1/2,0)'", "(mx|1/2,0,1/2)'", "(my|1/2,0,1/2)'"])
('BNS: 30.122 P_Inc2            ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|0,1/2,1/2)', '(my|0,1/2,1/2)', "(1|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'", "(mx|1/2,0,0)'", "(my|1/2,0,0)'"])
('BNS: 31.123 Pmn2_1            ', ['Operators:', '(1|0,0,0)', '(2z|1/2,0,1/2)', '(mx|0,0,0)', '(my|1/2,0,1/2)'])
("BNS: 31.124 Pmn2_11'          ", ['Operators:', '(1|0,0,0)', '(2z|1/2,0,1/2)', '(mx|0,0,0)', '(my|1/2,0,1/2)', "(1|0,0,0)'", "(2z|1/2,0,1/2)'", "(mx|0,0,0)'", "(my|1/2,0,1/2)'"])
("BNS: 31.125 Pm'n2_1'          ", ['Operators:', '(1|0,0,0)', "(2z|1/2,0,1/2)'", "(mx|0,0,0)'", '(my|1/2,0,1/2)'])
("BNS: 31.126 Pmn'2_1'          ", ['Operators:', '(1|0,0,0)', "(2z|1/2,0,1/2)'", '(mx|0,0,0)', "(my|1/2,0,1/2)'"])
("BNS: 31.127 Pm'n'2_1          ", ['Operators:', '(1|0,0,0)', '(2z|1/2,0,1/2)', "(mx|0,0,0)'", "(my|1/2,0,1/2)'"])
('BNS: 31.128 P_amn2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|1/2,0,1/2)', '(mx|0,0,0)', '(my|1/2,0,1/2)', "(1|1/2,0,0)'", "(2z|0,0,1/2)'", "(mx|1/2,0,0)'", "(my|0,0,1/2)'"])
('BNS: 31.129 P_bmn2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|1/2,0,1/2)', '(mx|0,0,0)', '(my|1/2,0,1/2)', "(1|0,1/2,0)'", "(2z|1/2,1/2,1/2)'", "(mx|0,1/2,0)'", "(my|1/2,1/2,1/2)'"])
('BNS: 31.130 P_cmn2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|1/2,0,1/2)', '(mx|0,0,0)', '(my|1/2,0,1/2)', "(1|0,0,1/2)'", "(2z|1/2,0,0)'", "(mx|0,0,1/2)'", "(my|1/2,0,0)'"])
('BNS: 31.131 P_Amn2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|1/2,0,1/2)', '(mx|0,0,0)', '(my|1/2,0,1/2)', "(1|0,1/2,1/2)'", "(2z|1/2,1/2,0)'", "(mx|0,1/2,1/2)'", "(my|1/2,1/2,0)'"])
('BNS: 31.132 P_Bmn2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|1/2,0,1/2)', '(mx|0,0,0)', '(my|1/2,0,1/2)', "(1|1/2,0,1/2)'", "(2z|0,0,0)'", "(mx|1/2,0,1/2)'", "(my|0,0,0)'"])
('BNS: 31.133 P_Cmn2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|1/2,0,1/2)', '(mx|0,0,0)', '(my|1/2,0,1/2)', "(1|1/2,1/2,0)'", "(2z|0,1/2,1/2)'", "(mx|1/2,1/2,0)'", "(my|0,1/2,1/2)'"])
('BNS: 31.134 P_Imn2_1          ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|1/2,0,1/2)', '(mx|0,0,0)', '(my|1/2,0,1/2)', "(1|1/2,1/2,1/2)'", "(2z|0,1/2,0)'", "(mx|1/2,1/2,1/2)'", "(my|0,1/2,0)'"])
('BNS: 32.135 Pba2              ', ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)'])
("BNS: 32.136 Pba21'            ", ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', "(1|0,0,0)'", "(2z|0,0,0)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'"])
("BNS: 32.137 Pb'a2'            ", ['Operators:', '(1|0,0,0)', "(2z|0,0,0)'", "(mx|1/2,1/2,0)'", '(my|1/2,1/2,0)'])
("BNS: 32.138 Pb'a'2            ", ['Operators:', '(1|0,0,0)', '(2z|0,0,0)', "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'"])
('BNS: 32.139 P_cba2            ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', "(1|0,0,1/2)'", "(2z|0,0,1/2)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'"])
('BNS: 32.140 P_bba2            ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', "(1|0,1/2,0)'", "(2z|0,1/2,0)'", "(mx|1/2,0,0)'", "(my|1/2,0,0)'"])
('BNS: 32.141 P_Cba2            ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', "(1|1/2,1/2,0)'", "(2z|1/2,1/2,0)'", "(mx|0,0,0)'", "(my|0,0,0)'"])
('BNS: 32.142 P_Aba2            ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', "(1|0,1/2,1/2)'", "(2z|0,1/2,1/2)'", "(mx|1/2,0,1/2)'", "(my|1/2,0,1/2)'"])
('BNS: 32.143 P_Iba2            ', ['Operators', '(BNS):', '(1|0,0,0)', '(2z|0,0,0)', '(mx|1/2,1/2,0)', '(my|1/2,1/2,0)', "(1|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'"])
('BNS: 33.144 Pna2_1            ', ['Operators:', '(1|0,0,0)', '(2z|0,0,1/2)', '(mx|1/2,1/2,1/2)', '(my|1/2,1/2,0)'])
